strain,sex,id,mouse_num,CHOL,HDL,GLU,TG,WBC,pctLYMP,pctNEUT,pctMONO,pctBASO,pctEOS,pctLUC,RBC,pctRetic,RDW,MCH,MCHC,CHCM,HDW,MCV,cHGB,mHGB,HCT,PLT,MPV,pulse,pulse_std,systolic_BP,systolic_BP_std,CV,HR,HRV,R_amplitude,RS_amplitude,N,PQ,PR,QRS,QT,QT_dispersion,QTc,QTc_dispersion,RR,ST,BMC,BMD,bone_area,total_area,LTM,pct_fat,TTM,bw
129SPWKF1,f,CGF1F01,89835,93,80.4,146,67,9.84,86.6,10.6,0.8,0.2,1.2,0.7,9.85,2.5,14.2,16.1,33.5,32.9,1.78,48,15.6,15.9,47.3,792,4.5,,,,,5.87,680,39.9,508.27,599.03,23,20.6,28.9,11.6,43.7,26.5,46.5,27.9,88.6,32.7,0.24,0.07,4.86,8.24,6.1,14.42,7.54,16.69
129SPWKF1,f,CGF1F02,89836,98,83.5,136,63,9.29,,12.9,,0.2,0,1.1,9.78,1.4,14.1,16.1,34.5,33.6,1.84,46.6,15.3,15.7,45.5,840,4.5,,,,,1.58,776,12.3,299.24,307.15,34,26.4,30.8,7.9,35.6,19.5,40.5,21.8,77.3,28.2,0.28,0.08,5.26,8.44,6.2,16.39,7.69,17.27
129SPWKF1,f,CGF1F03,89837,96,78.5,143,78,9.13,84.9,11.5,1,0.1,1.9,0.5,9.82,3.2,14.4,15.8,33.6,32.9,1.85,47,15.2,15.5,46.1,848,5,,,,,11.42,596,68.1,386.93,357.41,24,25.2,33.7,12.9,51.1,33.5,50.7,35.3,102.3,38.7,0.25,0.06,5.09,8.68,6.45,16.88,7.87,17.48
129SPWKF1,f,CGF1F04,91735,109,95.2,131,113,5.06,82.9,14.5,0.8,0.1,1.5,0.3,10.46,2,14.2,15.9,35.2,34,1.96,45.3,16.1,16.6,47.3,852,4.6,,,,,,,,,,,,,,,,,,,,0.31,0.07,5.65,9.13,6.85,15.25,8.37,19.12
129SPWKF1,f,CGF1F05,91736,103,91.1,137,130,6.98,86.4,10.5,0.6,0.1,1.8,0.6,10.39,1.3,14.2,15.6,34.5,33.9,1.99,45.2,15.9,16.2,47,986,4.6,,,,,,,,,,,,,,,,,,,,0.31,0.07,5.91,9.54,7.1,20.61,8.85,19.96
129SPWKF1,m,CGF1M01,89838,120,103.2,198,168,8.96,85.6,10.1,0.9,0.4,2.4,0.7,10.27,2.3,13.4,15.4,32.8,32.2,1.67,47.1,15.6,15.9,48.3,1062,4.7,,,,,1.49,785,11.7,221.94,210.81,31,24,31,10.3,37.3,22,42.6,24.6,76.5,27.5,0.24,0.05,5,9.85,7.55,17.53,9.5,20.99
129SPWKF1,m,CGF1M02,89839,114,94.4,197,211,9.82,86.5,9.2,1,0.2,2.5,0.6,10.35,1.8,13.6,15.3,33.4,32.6,1.8,45.9,15.5,15.8,47.5,978,4.4,,,,,0.96,834,8,258.28,295.5,35,22.3,29.2,10.2,36.1,22,42.6,25.8,71.9,26.4,0.27,0.07,5.3,9.97,8.4,15.42,10.42,22.7
129SPWKF1,m,CGF1M03,89840,107,92.1,156,147,9.73,86.8,10,0.6,0.2,2,0.5,10.16,2.1,13.5,15.5,33.1,32.1,1.66,46.9,15.3,15.8,47.7,1111,4.5,,,,,2.72,768,20.9,211.77,175.35,30,22.2,29.9,11.3,44.1,22,49.9,24.6,78.2,33.3,0.25,0.06,5.26,9.67,8.1,14.18,9.84,21.45
129SPWKF1,m,CGF1M04,89841,117,101.8,194,187,9.15,87.6,8.9,1,0.1,1.8,0.6,10.64,1.7,13.2,15.3,33,32.5,1.7,46.4,16,16.3,49.4,1034,4.4,,,,,1.71,765,13.1,254.05,229.02,32,21.7,29.1,10.9,42.3,20.5,47.7,22.4,78.5,31.9,0.25,0.07,5.01,9.65,8.05,16.11,10.04,21.74
129SPWKF1,m,CGF1M05,89842,112,92.6,200,190,9.56,87.7,8.9,0.8,0.2,1.6,0.9,10.35,1.8,13.3,15.2,32.9,32.6,1.75,46.3,15.6,15.8,47.9,1086,4.8,,,,,3.86,776,30,266.69,249.93,31,23.6,30.6,10.1,41.2,22.5,46.8,22.8,77.4,31.6,0.23,0.05,4.9,10.04,7.45,17.33,9.65,21.24
129SWSBF1,f,CHF1F01,81393,101,87.3,160.5,86.5,9.84,83.5,12.1,1.4,0.2,2.1,0.7,9.34,6.8,15.9,16.5,34.3,31.8,1.91,48,14.3,15.4,44.9,1077,8.5,606,35.7,123,20.4,,,,,,,,,,,,,,,,,,,,,,,
129SWSBF1,f,CHF1F02,81394,95.5,81.9,148.5,87,10.02,87.9,8.7,1,0.1,1.9,0.5,9.35,3.9,15.2,16.4,35,32.2,1.94,47,14.1,15.4,43.9,996,6.1,593,30.8,113,34,,,,,,,,,,,,,,,,,,,,,,,
129SWSBF1,f,CHF1F03,81395,96.5,79.8,164,72,6.5,82,14,1.2,0.1,2.5,0.3,9.15,4.9,15.3,16.6,35.3,32.3,2.03,47,13.9,15.2,43,1147,8.2,560,31.1,142,37.2,,,,,,,,,,,,,,,,,,,,,,,
129SWSBF1,f,CHF1F04,87102,92,83.4,173,79,7.77,81.8,14,0.6,0.1,2.9,0.6,9.97,3.8,14.5,15.8,33,32.1,1.71,48,15.4,15.8,47.9,858,5.3,438,42.1,170,26.7,0.98,844,8.3,476.67,28.72,33,10.8,16.4,11.5,38.9,16,46.1,18.3,71.1,27.9,0.32,0.08,5.67,9.67,8.25,12.43,9.71,21.59
129SWSBF1,f,CHF1F05,87103,99,89.2,169,68,5.93,83.6,11.9,1.4,0.3,2.3,0.5,9.08,4.2,14.3,16,34.2,32.5,1.83,46.7,13.8,14.5,42.4,1114,8.5,570,105,126,31.8,1.16,808,9.4,357,571.15,27,18.6,25.6,10.1,42.1,22.5,48.8,26.4,74.3,32.5,0.31,0.07,5.75,9.6,7.5,12.3,8.92,19.99
129SWSBF1,m,CHF1M01,81396,130,116.9,170.5,87.5,7.86,82.9,12.1,1.3,0.1,3.1,0.5,10.46,3.7,13.7,15.6,33.1,31.4,1.89,47.3,15.5,16.4,49.5,1087,8.7,578,47.9,103,33,,,,,,,,,,,,,,,,,,,,,,,
129SWSBF1,m,CHF1M02,81397,120,109.9,184,79,8.57,80.7,14.5,1.6,0.2,2.5,0.5,9.21,5.1,14.2,16.2,35.1,32.2,2.09,46.2,13.7,15,42.6,1530,11.3,647,70.4,112,18,,,,,,,,,,,,,,,,,,,,,,,
129SWSBF1,m,CHF1M03,81398,120.5,108.8,170.5,67.5,7.98,81.3,14.7,1.3,0.1,2.1,0.4,10.12,3.9,13.9,15.9,33.9,31.5,2.06,47,15,16.1,47.5,1229,9.5,605,57.3,119,31.7,,,,,,,,,,,,,,,,0.29,0.07,5.45,9.91,8.75,13.64,10.45,22.79
129SWSBF1,m,CHF1M04,87104,122,111.9,176,90,7.73,86.6,9,1.1,0.2,2.5,0.7,9.84,3.2,13.4,15.9,34.2,32.3,1.72,46.4,14.8,15.6,45.7,1277,9.7,431,88.8,112,37.8,0.67,860,5.7,313.48,463.64,28,19.3,25.4,9.2,39,12.5,46.7,15.1,69.8,30.3,0.28,0.06,5.79,9.81,8.1,12.83,9.7,21.96
129SWSBF1,m,CHF1M05,87105,116,107.8,143,105,7.82,85.3,10.7,1.5,0.2,1.6,0.7,9.88,4.1,13.7,15.5,33.2,32.1,1.8,46.8,14.8,15.3,46.2,1154,7.3,400,60.6,96.7,30.9,0.69,848,5.8,178.56,293.34,31,11.3,15.3,9.3,39,1,46.4,1.2,70.8,30.2,0.27,0.06,5.46,10.06,8.55,12.19,10.08,22.15
A/J,f,AAF1F01,431185,77,67.3,151,151,3.97,80.7,15.4,1.5,0.5,1.6,0.2,9.46,2.4,16.3,15.4,34.8,35.7,2.36,44.4,15,14.6,42,974,4.6,,,,,0.46,820,3.8,422.78,491.47,27,18.1,24.9,9.9,38.4,19,44.8,22.4,73.2,29,0.19,0.05,3.99,13.13,9.15,33.1,15.07,30.92
A/J,f,AAF1F02,431186,68,63.5,178,114,3.83,76.9,19.6,1.4,0.4,1.4,0.3,9.57,3.2,15.9,15.2,35,36,2.54,43.6,15,14.6,41.8,814,5,,,,,5.94,693,41.2,426.84,401.27,31,23.4,30.2,10.4,39.2,31,42,33.2,86.9,29.3,0.2,0.06,4.19,11.24,8.35,24.33,12.1,25.48
A/J,f,AAF1F03,431187,76,68,180,122,4.58,76.5,19.8,1.9,0.2,1.4,0.3,10.05,2.2,16.2,15.5,35.3,36,2.46,43.9,15.9,15.5,44.1,748,4.7,,,,,3.72,707,26.3,398.65,396.83,24,21.7,28.1,9.4,41.5,31.5,45,33.3,85,32.6,0.22,0.06,4.51,12.02,9,29.73,13.15,26.91
A/J,f,AAF1F06,441705,49,44,122,45,3.9,79.2,16.8,1.8,0.2,1.8,0.2,9.22,2,16.9,15.2,35.8,36.9,2.68,42.5,14.5,14,39.2,773,4.7,,,,,0.86,837,7.2,498.49,561.95,32,20.5,25.3,8.4,30.2,19.5,35.7,22.8,71.7,22.3,0.18,0.06,4.06,9.67,7.05,18.5,9.17,19.08
A/J,f,AAF1F07,441706,50,43.9,135,69,5.02,78.7,16.9,2.1,0.3,1.8,0.2,8.64,1.9,15.8,15.5,36,36.4,2.74,43,13.5,13.4,37.1,1200,9.9,,,,,2.67,749,20,526.94,537.07,33,20.6,28,10.7,35.5,24,39.6,26.1,80.2,25.3,0.19,0.05,4.38,8.92,6.45,17.42,8.08,18.06
A/J,m,AAF1M01,431188,82,77.3,189,130,5.96,83.7,13.8,0.9,0.2,1.1,0.3,10.03,2.8,15.8,15,34.4,35.2,2.45,43.7,15.4,15.1,43.8,1055,6.2,,,,,0.86,818,7,325.32,341.79,30,24.5,29.8,9.3,37.1,20,43.4,23.6,73.3,28.3,0.2,0.05,4.29,11.75,9.6,29.27,14.04,28.48
A/J,m,AAF1M06,441707,67,59.9,161,130,5.97,79.5,16.7,1.9,0.1,1.6,0.2,9.62,3.6,16,15.3,36.6,36.6,2.68,41.7,14.7,14.7,40.1,1029,4.5,,,,,0.72,823,5.9,380.08,415.63,36,22.2,28.8,9.6,41.3,22,48.4,25.7,72.9,32.2,0.21,0.04,4.88,11.64,9,20.96,12.07,25.72
A/J,m,AAF1M07,441708,69,65.4,175,104,6.15,77.5,18.7,1.9,0.3,1.3,0.2,8.93,4.1,16.3,15.3,36.2,36.4,2.73,42.2,13.7,13.6,37.7,1073,10.1,,,,,1.07,823,8.8,327.36,376,34,23.7,29.4,9,36.4,19.5,42.6,22.6,72.9,27.9,0.39,0.04,8.58,24.04,17.9,31.52,26.2,28.84
A/J,m,AAF1M08,443608,66,58.2,162,110,4.18,78.8,16.7,2.9,0.4,1.1,0.2,9.06,2,16.2,15.5,36.5,38.5,2.41,42.5,14.8,14.1,38.5,859,4.3,,,,,2.94,692,20.4,404.61,485.77,28,23,30.1,10.3,43.6,33.5,46.8,34.2,86.8,33.8,0.18,0.04,4.09,10.14,8.15,21.07,10.91,22.48
A/J,m,AAF1M09,443609,70,63.9,156,87,4.05,84.1,11.9,2.1,0.6,1,0.2,8.84,2.8,16.2,15.4,36.1,38,2.67,42.7,14.3,13.6,37.7,982,4.6,,,,,11.5,594,68.3,466.42,483.44,26,20.9,28.9,11.9,49,56,48.9,63.2,102.8,37.6,,,,,,,,
A129SF1,f,ACF1F01,85828,84,71.6,180,105,8.47,81.2,12.4,1.3,0.3,3.6,1.1,9.29,2.2,14.9,15.8,33.3,32.6,1.73,47.6,14.4,14.7,44.2,971,4.7,416,68.3,122,19.6,1.53,838,12.8,285.81,364.62,32,22.7,28.3,8.6,38.9,21.5,46,25,71.6,30.9,0.27,0.07,5.22,9.9,7.6,16.66,9.54,21.09
A129SF1,f,ACF1F02,85829,83,72.7,167,105,8.97,85.2,11.2,0.9,0.2,1.8,0.7,9.19,2.9,14.8,16.1,34.4,32.8,1.76,47,14.1,14.8,43.2,910,4.8,350,57.4,115,36,16.63,564,93.8,474.78,338.24,20,19.2,29.6,13.3,64.2,56,61.2,53,110.4,51.4,0.22,0.06,4.6,10.9,7.8,23.36,10.96,23.49
A129SF1,f,ACF1F03,85830,78,67.4,164,105,6.55,78.5,13.2,2.1,0.2,5.2,0.8,9.69,2.8,14.6,16,33.2,32.1,1.77,48.2,15,15.5,46.7,889,4.7,381,32.8,106,52.6,9.62,622,59.8,257.59,132.26,27,29.1,33.2,9.4,43.3,50,43.8,51.8,97.6,34.4,0.24,0.06,4.62,10.63,7.95,23.98,10.91,23.36
A129SF1,f,ACF1F04,85831,75,69.2,157,106,7.33,86,9.6,1.5,0.2,1.9,0.7,9.65,2,14.4,15.9,33.5,32.5,1.73,47.3,14.8,15.3,45.7,895,4.7,578,49.3,115,26.8,18.76,662,124.1,233.17,104.66,23,26.7,33.2,13.7,52.2,45,54.2,51.7,95.3,39.1,0.24,0.07,4.72,10.23,7.8,21.28,10.56,22.91
A129SF1,f,ACF1F05,85832,80,68.7,147,64,8.35,86.5,11,0.7,0.2,1.1,0.5,9.89,2.8,15.1,15.8,33.5,32.4,1.85,47.2,15.1,15.6,46.6,966,4.8,502,68.2,97.6,24.9,5.16,776,40,231.15,190.46,28,22.2,28.4,9.6,40.7,23.5,46.3,28.3,77.5,31.6,0.24,0.07,4.43,10.13,8.05,23.77,11.13,23.74
A129SF1,m,ACF1M01,85833,113,99.2,212,152,5.9,83.5,12.4,1.8,0.1,1.6,0.6,9.91,2.8,14.1,15.6,33.3,32,1.79,46.8,14.9,15.4,46.4,1016,4.8,458,38.8,115,38.7,6.88,710,48.8,354.29,215.67,29,25.8,31.9,11.6,46,19,50.1,22.5,84.9,34.9,0.24,0.05,4.64,12.22,10,26.89,14.27,30.13
A129SF1,m,ACF1M02,85834,101,91,192,128,6.91,82.1,13.9,1.7,0.5,1.4,0.4,9.18,4,15.3,15.7,34.6,32.9,2.53,45.3,13.7,14.4,41.6,1068,6.2,399,32.6,135,44.7,7.45,778,57.9,269.19,122.08,31,22.1,28.7,10.3,44.4,15,50.7,19.1,77.6,34.6,0.23,0.06,4.66,11.82,9.35,23.39,13.25,28.42
A129SF1,m,ACF1M03,85835,102,88.3,205,145,8.46,79.3,16,1.4,0.6,2.2,0.5,9.37,4.3,16.5,15.8,34.5,32.9,2.78,45.9,14.1,14.8,43,1093,6.8,470,69.2,154,46.8,7.72,677,52.3,225.85,314.2,24,20.8,29.2,11.3,46.1,32,48.9,31.3,89.2,35.3,0.24,0.06,4.69,11.37,9.4,23.34,13.16,27.74
A129SF1,m,ACF1M04,85836,95,87.6,199,120,7.81,82.4,13.5,1.6,0.3,1.5,0.7,9.37,3.3,14,15.8,33.7,32.1,1.84,46.9,14.1,14.8,44,1166,4.9,451,37.8,143,15.2,4.62,662,30.6,334.3,385.76,27,20.1,27.4,10.1,47.2,32.5,49.5,31.5,90.8,37.6,0.2,0.05,4.11,12.48,10.05,26.3,15.12,31.44
A129SF1,m,ACF1M05,85837,102,92.8,217,137,7.23,87.4,9.4,1.2,0.2,1.3,0.5,9.63,3.5,13.9,15.9,32.7,31,1.69,48.5,14.5,15.3,46.7,1045,5.5,472,75.1,95.1,36.8,1.63,770,12.6,378.9,494.89,28,21,28.5,10.6,45.4,15,51.5,17.1,77.9,35.3,0.23,0.05,4.51,12.35,10.05,27.73,14.62,30.84
AB6F1,f,ABF1F01,89820,62,54.9,142,83,8.38,88.4,8.1,1.5,0.3,1.2,0.5,9.72,4,15.5,15.2,31.8,31.6,1.92,47.9,14.7,14.8,46.5,1144,4.6,614,60.2,127,25.4,1.97,807,15.9,306.06,365.98,31,23.5,30.2,9.7,39.1,20,45.4,22.6,74.3,30,0.23,0.06,4.81,9.83,7.75,15.88,9.8,21.21
AB6F1,f,ABF1F02,89821,74,65.9,179,128,7.17,85.1,9.6,1.3,0.2,3.2,0.4,9.53,4.8,15,15.1,32,32.1,1.9,47.2,14.5,14.4,45,1110,4.6,633,43.9,119,29.1,0.75,821,6.2,325.18,330.85,33,21.9,27.9,9,35.5,22.5,41.5,26.3,73.1,26.9,0.21,0.05,4.38,11.7,8.75,27.61,12.91,27.03
AB6F1,f,ABF1F03,89822,72,64.7,174,87,5.85,83.7,11.8,1.3,0.3,2.5,0.4,9.62,3.6,14.9,15.1,31.9,32,1.92,47.4,14.6,14.5,45.6,1052,4.7,666,56.9,105,12.5,1.1,779,8.6,338.56,269.11,30,22,28.7,9.9,39.3,20,44.8,23,77.1,30,0.24,0.05,4.86,11.31,9.1,21.5,12.7,27.01
AB6F1,f,ABF1F04,89823,70,64.2,178,81,6.76,85,11,1.3,0.1,2.1,0.5,10.18,3.4,14.7,15.1,32.5,31.8,1.74,46.3,15,15.3,47.1,1098,4.6,597,38.9,110,16.9,6.12,679,41.6,377.21,259.9,29,24.8,32.5,10.6,41.4,34.5,43.9,37.8,88.7,31.3,0.24,0.06,4.9,12.43,9.7,23.83,13.83,29.53
AB6F1,f,ABF1F05,89824,63,58.5,144,83,6.83,84.2,10.5,1.8,0.2,2.7,0.6,9.79,2.6,15.4,15.1,32.7,32.2,1.84,46.2,14.6,14.8,45.2,973,4.5,692,54.1,131,10.2,2.44,730,17.8,274.4,409.4,27,25,32.1,10.1,40.4,21.5,44.6,24.4,82.2,30.8,0.24,0.06,4.77,12.23,9.85,23.84,14.12,29.93
AB6F1,m,ABF1M01,89825,95,92.8,193,135,8.46,88.4,9,0.9,0.1,0.9,0.7,10.25,2.8,14,14.7,32.5,31.7,1.64,45.3,14.7,15.1,46.4,1155,4.6,388,43.5,74.2,25,3.6,704,25.4,466.36,367.78,31,22.6,29.5,10.3,40.7,25.5,44.1,25.9,85.3,30.9,0.24,0.06,4.69,13.51,11.2,29,16.69,35.29
AB6F1,m,ABF1M02,89826,99,94,201,128,9.61,89.4,7.5,0.7,0.2,1.4,0.8,10.28,2.6,13.6,15.2,32,30.9,1.6,47.3,15,15.6,48.6,1133,4.9,538,71.7,95.5,12.5,1.31,776,10.2,407.94,294.32,32,22,29.4,10.2,42.5,21,48.4,24,77.4,32.8,0.24,0.05,4.57,13.35,11.25,25.72,16.37,34.57
AB6F1,m,ABF1M03,89827,94,88,201,128,7.52,85.7,10.8,0.8,0.1,1.9,0.7,10.05,2.8,14,14.8,32.5,31.5,1.68,45.5,14.4,14.9,45.7,1182,4.8,415,54.8,116,28.6,2.67,781,20.8,440.35,384.51,31,20.1,27.1,10.3,39.3,24,44.8,26.7,76.9,29.4,0.23,0.05,4.66,13.91,12,28.54,17.95,37.71
AB6F1,m,ABF1M04,89828,90,86.9,200,150,8.33,88,8.2,0.8,0.1,1.7,1.2,10.78,2.6,13.5,14.9,31.3,29.9,1.49,47.6,15.3,16.1,51.3,1321,5.9,463,64.1,113,26.6,1.57,775,12.1,431.11,362.22,32,21.7,28.2,9.3,39.1,21.5,44.5,23.3,77.4,30.3,0.23,0.05,4.63,13.35,11.7,27.92,17.11,36.14
AB6F1,m,ABF1M05,89829,90,90.6,209,125,7.38,88.9,7.2,1,0.3,1.7,0.9,10.18,2.7,14,14.6,32.2,31.6,1.67,45.4,14.6,14.9,46.2,1151,4.8,480,59.2,119,20.1,1.47,718,10.6,342.15,290.28,27,19.7,26.7,10,43.6,24,47.7,25.9,83.6,34.1,0.23,0.05,4.67,13.24,10.95,28.49,16.18,34.32
ACASTF1,f,AFF1F01,90712,63,52.8,154,116,7.24,88.2,9.3,0.7,0.2,1.1,0.5,10.44,1.1,15,14.9,35,34.7,1.67,42.6,15.4,15.6,44.5,1124,4.6,,,,,,,,,,,,,,,,,,,,0.27,0.07,4.93,9.33,7.9,12.49,9.38,20.21
ACASTF1,f,AFF1F02,92283,63,50.2,191,89,6.78,81.6,14.9,0.8,0.3,2,0.3,10.6,2.8,15.3,15.2,34.3,31.9,1.81,44.2,15,16.1,46.9,1336,7.7,,,,,3.03,782,23.7,495.34,539.35,32,19.9,27.5,10.4,45.6,5.5,52.1,5.6,76.8,35.7,0.25,0.06,5.08,9.48,7.9,13.17,9.26,25.98
ACASTF1,f,AFF1F03,92284,54,43.6,182,69,8.83,82.1,13.1,1.5,0.3,2.7,0.3,11.26,1.6,14.8,14.9,34.5,32.4,1.71,43.3,15.8,16.8,48.7,996,4.9,,,,,3.25,829,27,318.52,7.83,36,10.5,15.3,11.1,40.6,4,47.8,3.9,72.4,30.1,0.27,0.06,5.33,9.81,7.95,12.12,9.34,20.84
ACASTF1,f,AFF1F04,92285,67,54.1,194,131,6.76,81.8,11.1,1.3,0.3,5.2,0.3,11.52,1.2,14.1,15.1,34,31.9,1.56,44.5,16.4,17.4,51.3,978,5,,,,,12.53,707,88.5,381.3,296.09,28,19.5,27.9,11.2,51.4,33.5,55.1,28.4,86.4,40.7,0.27,0.06,5.28,10.03,8.55,13.2,10.04,22.28
ACASTF1,f,AFF1F05,92286,66,55.3,213,89,6.69,80.6,9.45,0.7,0.25,8.8,0.25,10.77,1.15,15.55,15.2,33.35,32.5,2.03,45.5,15.95,16.35,48.95,807,4.75,,,,,1,865,8.7,445.5,309.28,33,21.6,27.7,9.3,39.8,13,47.8,15.8,69.4,31,0.27,0.06,5.46,9.56,7.8,14.05,9.45,20.87
ACASTF1,m,AFF1M01,90713,78,70.8,228,164,9.4,87.6,8.2,1.1,0.2,2.5,0.5,11.67,1.6,13.4,14.4,34.2,33.4,1.66,42,16.4,16.8,49,1215,5.6,,,,,,,,,,,,,,,,,,,,0.28,0.06,5.37,12.67,11.9,22.3,15.8,33.03
ACASTF1,m,AFF1M02,90714,76,61.1,182,174,9,85.9,10.3,1.3,0.3,1.8,0.4,11.25,1.7,13.6,14.4,35.1,34.4,1.84,40.9,15.9,16.2,46,1369,5.5,,,,,,,,,,,,,,,,,,,,0.28,0.06,5.57,12.51,11.25,18.19,14.26,30.55
ACASTF1,m,AFF1M03,90715,90,76.8,208,236,5.18,83.7,9.9,1.3,0.1,4.7,0.2,11.43,1.5,13.5,14.6,34.3,33.1,1.65,42.6,16.1,16.7,48.7,958,4.8,,,,,,,,,,,,,,,,,,,,0.28,0.06,5.34,14.27,13,22.7,17.72,37.2
ACASTF1,m,AFF1M04,90716,80,71.1,214,184,7.34,86.4,9.2,1.4,0.1,2.6,0.4,11.28,1.6,13.3,14.1,34.4,34.5,1.76,41,16,15.9,46.3,1119,4.4,,,,,,,,,,,,,,,,,,,,0.28,0.07,5.36,12.98,12.2,24.11,16.31,34.39
ACASTF1,m,AFF1M05,90717,82,70.7,232,217,10.15,88.1,8.9,1.2,0.1,1.1,0.5,11.17,1.7,13.5,14.5,34.9,33.8,1.66,41.6,15.7,16.2,46.4,1258,4.5,,,,,,,,,,,,,,,,,,,,0.27,0.05,5.13,13.98,12.75,26.65,18.26,38.1
ANODF1,f,ADF1F01,91704,75,74.1,167,86,6.83,84.1,12.6,1.2,0.2,1.6,0.4,9.85,4.5,15.6,16,34.3,33.6,2.19,46.5,15.4,15.7,45.9,1053,4.9,,,,,1.87,733,13.7,659.73,772.1,29,22.1,29.1,10.1,40.5,22,44.8,24.5,81.8,30.9,0.28,0.07,5.17,11.88,10.05,24.45,13.48,28.6
ANODF1,f,ADF1F02,91705,87,79.3,149,150,5.9,83.8,13.2,0.9,0.2,1.4,0.5,9.78,3.3,14.7,16,35.1,34.5,2.05,45.5,15.4,15.7,44.6,1211,4.5,,,,,0.63,811,5.1,387.37,328.4,32,22.5,28.9,9.3,41.3,24.5,48,28.3,74,32.5,0.29,0.07,5.15,14.49,12,34.22,18.64,39.17
ANODF1,f,ADF1F03,91706,84,78.3,157,154,6.25,80.3,15.7,1.8,0.2,1.8,0.2,9.82,3.2,14.4,16,34.6,33.5,2,46.4,15.3,15.8,45.6,1132,4.6,,,,,1.05,818,8.6,373.55,409.69,34,22.6,28.9,9.2,35.7,28,41.7,32,73.3,27,0.28,0.07,5.25,12.84,10.95,25.67,15.41,32.46
ANODF1,f,ADF1F04,91707,92,78.3,126,75,6.26,79.6,16,1.2,0.1,2.4,0.6,9.24,3.7,15.3,16.2,34.1,33.4,1.98,47.6,14.7,15,44,1066,4.4,,,,,0.99,850,8.4,392.84,583.69,34,19.8,26,9,34.8,20.5,41.5,24.8,70.6,26.4,0.29,0.06,5.34,12.48,10.4,25.53,14.15,29.85
ANODF1,f,ADF1F06,93775,90,81.1,168,150,6.13,78.5,15.4,0.8,0.3,4.4,0.5,9.29,6.3,17.2,16,33.6,33,3.09,47.6,14.6,14.8,44.2,1128,4.9,,,,,3.48,749,26.1,441.47,324.47,30,24.6,32.2,10.4,40.3,22,45,24.3,80.2,30.4,0.3,0.07,5.86,11.34,9.8,14.5,12.05,26.61
ANODF1,m,ADF1M01,91709,112,104.7,179,148,6.26,81.8,14.2,1.8,0,1.9,0.3,9.6,4.2,14.4,16.4,35.9,33.7,2.01,45.6,14.8,15.7,43.8,1495,10,,,,,0.55,841,4.6,209.14,296.76,33,19.9,25.7,8.6,37.8,27,44.8,32.2,71.3,29.8,0.27,0.06,5.44,13.85,13.05,19.29,17.19,36.71
ANODF1,m,ADF1M02,91710,116,105.5,167,172,7.49,84.3,12,1.6,0.1,1.4,0.5,10.06,3.1,14,15.9,35.2,33.7,1.96,45.1,15.3,16,45.3,1329,4.5,,,,,0.66,871,5.8,444.37,517.26,35,19,24.5,8.5,32.5,20.5,39.2,24.5,68.9,24.6,0.27,0.06,5.38,14.53,13.35,23.6,18.61,39.46
ANODF1,m,ADF1M03,91711,123,113.9,177,207,6.68,83.4,12.9,1.6,0.2,1.4,0.4,10.08,3.7,14.5,15.9,34.9,33.5,2.07,45.6,15.4,16,45.9,1247,6.1,,,,,0.68,818,5.6,402.3,532.14,34,22.7,28.5,8.8,32.9,22.5,38.4,26.3,73.3,24.6,0.29,0.06,5.37,12.82,12.35,21.26,16.4,34.52
ANODF1,m,ADF1M04,92007,114,109.4,153,122,,,,,,,,,,,,,,,,,,,,,,,,,0.61,801,4.9,554.44,664.79,30,21.3,27.4,9.6,37.2,23.5,42.9,27.4,74.9,28.1,0.29,0.06,5.47,14.37,13.9,24.3,19.22,40.18
ANODF1,m,ADF1M05,93776,111,103.4,165,166,7.98,80.4,15.4,1.1,0.5,2.1,0.6,9.47,3,13.9,15.8,33.6,33.1,2.86,47,14.7,14.9,44.5,1239,6.1,,,,,2.11,829,17.5,398.01,362.64,34,22.4,28.2,8.9,34.8,22.5,40.9,25.8,72.4,26.4,0.27,0.06,5.58,12.6,11.3,17.94,14.24,30.97
ANZOF1,f,AEF1F01,91712,116,97.4,181,210,6.36,85.7,10.6,1.1,0.2,2.1,0.3,10.62,3,14.4,15.2,33.9,32.8,1.69,44.8,15.6,16.1,47.6,917,5.8,,,,,17.05,510,87,487.62,582.39,25,28.5,37.3,12.4,56,58.5,51.1,62.9,120.8,44,0.23,0.06,4.62,12.75,9.6,32.05,14.92,31.28
ANZOF1,f,AEF1F02,91713,104,92.4,183,120,6,79.2,16.4,1.3,0.4,2.1,0.7,10.46,2.5,15,15,33.9,33.5,1.84,44.3,15.5,15.7,46.3,1114,4.7,,,,,3.36,679,22.8,348.19,335.4,27,27,33.9,9.9,41.5,22,44.2,23.9,88.5,32.1,0.24,0.06,4.73,12.59,10.05,28.14,14.67,30.97
ANZOF1,f,AEF1F03,92280,116,107.2,188,130,5.54,86.5,9.5,1.2,0.1,2.3,0.5,10.67,2.3,14,14.7,32.9,32.1,1.56,44.7,15.3,15.7,47.6,1149,4.8,,,,,1.34,761,10.2,473.39,448.67,31,24.2,31.2,10.2,36.8,22.5,41.4,25.9,78.9,27.1,0.25,0.06,5.19,14.61,8.75,44.66,17.45,36.13
