strain,sex,id,mouse_num,CHOL,HDL,GLU,TG,WBC,pctLYMP,pctNEUT,pctMONO,pctBASO,pctEOS,pctLUC,RBC,pctRetic,RDW,MCH,MCHC,CHCM,HDW,MCV,cHGB,mHGB,HCT,PLT,MPV,pulse,pulse_std,systolic_BP,systolic_BP_std,CV,HR,HRV,R_amplitude,RS_amplitude,N,PQ,PR,QRS,QT,QT_dispersion,QTc,QTc_dispersion,RR,ST,BMC,BMD,bone_area,total_area,LTM,pct_fat,TTM,bw
129SAF1,m,CAF1M03,89445,102,97,178,115,7.04,85.1,11.1,1.3,0.3,1.6,0.5,9.42,2.7,13.6,16.1,33.9,32,1.76,47.5,14.3,15.2,44.7,1189,8.8,402,54.8,136,32,4.01,606,24.3,336.56,598.89,24,20.8,30,13.2,54.1,23,54.4,22.8,99.2,41.4,0.24,0.06,4.51,11.56,9.3,27.95,13.55,28.78
129SAF1,m,CAF1M04,89446,113,100.3,160,117,7.58,82.5,13,1.5,0.2,2.1,0.7,10.15,2.9,13.8,16,32.5,31,1.68,49.2,15.5,16.2,49.9,1199,8.2,399,56.1,123,44.7,2.09,649,13.6,582.17,740.45,27,22.2,31.2,12.5,52.7,17,54.8,17.6,92.5,40.7,0.25,0.06,4.68,12.78,10.15,27.92,15.09,32.39
129SAF1,m,CAF1M05,89447,113,100.1,190,108,8.63,84,11.9,1.3,0.2,1.6,1,9.62,2.4,13.7,15.6,32.3,31.5,1.68,48.3,14.6,15,46.5,1082,4.8,429,37.9,128,29.9,1.57,742,11.6,326.32,563.8,34,14.5,19.2,9.8,44.1,21.5,49.1,24,80.8,34.9,0.23,0.06,4.4,11.73,9.2,27.61,13.33,27.58
129SB6F1,f,CBF1F01,90718,105,99.4,174,63,9,84.8,10.8,1,0.3,2.5,0.6,9.73,2.9,13.7,15.9,33.2,32.2,1.69,48,15,15.5,46.7,987,4.8,,,,,2.2,701,15.4,377.97,535.22,28,21.5,29.1,11.3,49.2,19,53.1,19.4,85.6,38.4,0.3,0.07,5.33,12.08,9.95,20.15,13.18,29
129SB6F1,f,CBF1F02,90719,103,91.7,166,96,8.28,87.3,6.9,0.9,0.2,4,0.6,9.84,2.3,13.6,16.1,32.9,31.8,1.6,48.9,15.3,15.8,48.1,879,4.7,,,,,1.57,774,12.2,442.94,555.17,30,22.6,30.1,10.8,45.1,9,51.2,9.9,77.5,34.8,0.28,0.06,5.24,11.75,9.85,19.4,12.71,26.68
129SB6F1,f,CBF1F03,90720,110,,,,7.54,87.7,6.9,1.2,0.1,3.4,0.6,10.02,2.7,13.5,16.2,32.1,31.1,1.53,50.6,15.8,16.3,50.7,982,5.3,,,,,4.64,710,32.9,646.08,738.26,28,21.1,29.1,11.3,49.9,8.5,54.2,6.8,84.7,39.1,0.31,0.07,5.32,10.83,9.8,19.19,12.45,26.36
129SB6F1,f,CBF1F04,91732,93,86.3,190,69,6.99,89.5,5.1,0.9,0.1,3.8,0.7,9.59,3.4,13.4,16.1,33.9,32.9,1.69,47.6,15,15.5,45.6,994,4.7,,,,,1.08,776,8.3,314.13,434.13,29,21.1,28.3,10.4,40.6,18.5,46.2,20.9,77.4,30.7,0.3,0.07,5.46,11.27,10,20.24,13.16,27.86
129SB6F1,f,CBF1F05,91733,105,95.3,153,56,5.42,89.9,5.8,0.8,0.2,2.7,0.5,10.09,3,13.4,15.6,33.1,33.1,1.66,47,15.7,15.7,47.5,955,4.7,,,,,0.62,775,4.8,437.84,552.04,28,21.3,29.2,11.1,44.8,12,50.9,13.6,77.5,34.1,0.32,0.08,5.78,11.56,9.95,19.96,12.92,27.82
129SB6F1,m,CBF1M01,88117,118,106.2,193,105,11.94,66,28.2,3.2,0.2,1,1.4,10.02,4.2,13.6,16.3,30.9,28.9,1.5,52.6,15.3,16.3,52.7,1277,7.2,581,49.9,127,9.35,,,,,,,,,,,,,,,,0.33,0.07,5.66,11.61,12.05,14.44,14.78,30.63
129SB6F1,m,CBF1M02,88118,119,108.6,183,115,9.54,69,24.1,3.2,0.1,1.7,1.9,9.66,2.5,13.4,16.1,33.1,31.4,1.71,48.6,14.7,15.6,47,1301,5.4,667,43,135,16,,,,,,,,,,,,,,,,0.33,0.07,5.53,12.48,11.8,18.45,15.24,31.7
129SB6F1,m,CBF1M03,88119,126,111.1,186,103,8.12,76.1,18.7,2.4,0,1.3,1.4,9.71,1.8,12.9,15.7,33.4,32.1,1.63,46.8,14.6,15.2,45.5,1230,4.7,599,96.5,112,12.1,,,,,,,,,,,,,,,,0.32,0.07,6.05,11.91,11.05,16.74,13.53,29.17
129SB6F1,m,CBF1M04,88120,123,113,191,152,7.88,69.6,24.2,2.5,1,1.8,0.9,9.19,2.1,13.7,16.1,34.8,33.4,1.83,46.1,14.2,14.8,42.4,1273,5.1,592,68.1,125,11.5,,,,,,,,,,,,,,,,0.34,0.07,5.49,13.54,12.25,22.28,16.87,35.13
129SB6F1,m,CBF1M05,88121,130,115.8,203,95,9.58,69.6,24.3,2.7,0.1,1.5,1.7,9.34,2.7,13,16.1,33.4,31.5,1.64,48.2,14.2,15,45.1,1214,5,547,52.4,114,14.8,,,,,,,,,,,,,,,,0.33,0.07,6.03,12.13,10.9,17.89,13.63,29.91
129SCASTF1,f,CFF1F01,82314,78.5,68.5,181.5,77.5,8.79,86.5,8.9,1.1,0.2,2.7,0.5,9.42,2.7,15.3,16.4,35,33,2.39,46.8,14.6,15.4,44.1,1161,5.2,,,,,2.97,803,23.8,457.73,820.96,31,15.8,20,9.2,31.9,21.5,36.8,24.8,74.8,23.2,0.35,0.09,6.02,9.18,7.45,16.74,8.91,20.46
129SCASTF1,f,CFF1F02,82315,80,65.75,205.5,85.5,7.62,84.1,11.9,1.7,0.1,1.7,0.5,9.41,1.7,14.3,16.2,34.5,32.2,1.65,47,14.2,15.3,44.2,1290,5.6,,,,,2.95,765,22.6,305.16,33.05,29,16.5,22.9,13.3,41.3,20.5,46.7,23.3,78.5,28.5,0.32,0.08,5.48,9.41,7.6,13.56,9.12,20.12
129SCASTF1,f,CFF1F03,82316,80.5,69.15,185,67.5,8.81,,25.3,,0.1,0,0.4,9.47,2.3,14.6,16,34.3,32.7,1.89,46.6,14.4,15.2,44.1,1049,5.2,,,,,3.15,779,24.5,367.84,708.72,30,20.4,27.6,10.3,45.4,8.5,51.7,7.6,77.1,35.6,0.33,0.09,5.48,9.97,8,14.41,9.63,21
129SCASTF1,f,CFF1F04,82317,85.5,72.2,168,112,7.9,81.7,13.7,1.2,0.1,2.8,0.5,9.87,1.7,13.7,15.8,34.2,32.4,1.62,46.2,14.8,15.6,45.6,1214,5.7,,,,,3.03,757,22.9,283.23,199.37,28,25.8,31.6,8.4,38.4,23,43.2,26.7,79.3,30.5,0.31,0.07,5.58,9.86,7.8,12.28,9.23,20.55
129SCASTF1,f,CFF1F05,82318,78.5,64.45,179.5,92,9.39,79.8,15.7,1.4,0.2,2.5,0.3,9.14,2.8,16.1,16.5,35,32.8,2.6,47.2,14.1,15.1,43.2,1178,5.1,,,,,4.85,776,37.7,262.49,496.87,32,16.6,20.9,9.8,33.9,22,38.5,25.5,77.5,24.6,0.31,0.08,5.47,9.78,7.6,12.69,9.03,19.97
129SCASTF1,m,CFF1M01,82320,108,92.85,211,146.5,7.23,82,13.4,1.4,0.2,2.6,0.4,9.79,1.8,12.9,15.6,34.3,32.4,1.58,45.5,14.5,15.3,44.6,1197,5.4,,,,,0.78,829,6.4,338.14,385,33,20,27,10.2,42.1,13,49.5,15.4,72.4,32.4,0.31,0.06,5.59,11.07,10,13.41,12.01,25.78
129SCASTF1,m,CFF1M02,82322,101.5,87.5,229.5,166.5,6.99,84,8.1,1.3,0.2,6.1,0.3,9.59,2,13.5,15.6,34.2,32.5,1.7,45.7,14.2,15,43.9,1005,5,,,,,1.94,812,15.7,283,461.63,32,18.5,25.4,9.9,43.4,6.5,50.5,7.4,73.9,34,0.31,0.07,5.52,10.56,10,12.36,11.91,25.97
129SCASTF1,m,CFF1M03,82324,106,89.9,209.5,187,6.58,87.1,8.1,1.7,0.1,2.6,0.4,9.94,1.6,15.1,15.3,33.9,32.8,2.87,45.1,14.7,15.2,44.9,1400,5.1,,,,,4.59,824,37.8,235.38,300.65,33,20.6,27.5,10.3,43,10,50.5,15,72.9,33.2,0.31,0.07,5.59,11.48,10.6,13.47,12.88,27.55
129SCASTF1,m,CFF1M04,82325,105,89.4,210,146.5,6.98,87.4,8.8,1.4,0.2,1.6,0.5,10.07,2.3,13.5,15.6,34,32.4,1.64,45.8,14.9,15.7,46.1,1132,5,,,,,4.2,777,32.7,364.42,430.83,28,20.1,27.8,10.8,46,10,52.3,8.2,77.3,35.7,0.35,0.08,6.06,12.01,11.05,14.38,13.26,28.51
129SCASTF1,m,CFF1M05,82326,109.5,96.35,261,93,8.24,86.2,9.8,1.4,0.1,2,0.5,10.17,1.9,13.6,15.6,34.4,32.4,1.78,45.4,15,15.9,46.1,1168,5,,,,,1.76,815,14.3,382.92,535.43,32,20.7,28,10.4,40.8,19.5,47.5,22.3,73.7,30.9,0.32,0.07,5.77,11.07,10.05,14.33,12.18,26.51
129SNODF1,f,CDF1F01,89830,96,90.4,149,113,11.04,82.8,14.3,0.8,0.3,1.3,0.6,9.68,2.6,13.5,16.7,33.8,31.8,1.76,49.6,15.2,16.2,48,1116,9.3,,,,,,,,,,,,,,,,,,,,0.36,0.08,5.69,11.72,10.2,20.88,13.43,28.83
